Nome do Produto;Descricao do Produto;Fabricante;Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;Categoria
Contoso 8GB Super-Slim MP3/Video Player M800 Pink;"2"" color LCD, Touchpad, Plays music, video, photos and text";Contoso, Ltd;Contoso;Regular;50,56;109,95;19;Aparelho de Som
Litware Home Theater System 2.1 Channel E210 Black;2.1 channel home theater system with an HDMI socket, an auxiliary input and a USB port;Litware, Inc.;Litware;Econômico;152,44;299;194;Home Theater
Litware Home Theater System 2.1 Channel E210 Silver;2.1 channel home theater system with an HDMI socket, an auxiliary input and a USB port;Litware, Inc.;Litware;Econômico;152,44;299;210;Home Theater
Litware Home Theater System 2.1 Channel E210 Brown;2.1 channel home theater system with an HDMI socket, an auxiliary input and a USB port;Litware, Inc.;Litware;Econômico;152,44;299;226;Home Theater
Contoso Home Theater System 2.1 Channel E1220 Black;2.1 channel home theater system, includes 2 front speakers;Contoso, Ltd;Contoso;Econômico;101,46;199;249;Home Theater
Contoso Home Theater System 2.1 Channel E1220 Silver;2.1 channel home theater system, includes 2 front speakers;Contoso, Ltd;Contoso;Econômico;101,46;199;262;Home Theater
Contoso Home Theater System 2.1 Channel E1220 White;2.1 channel home theater system, includes 2 front speakers;Contoso, Ltd;Contoso;Econômico;101,46;199;275;Home Theater
Contoso Home Theater System 2.1 Channel E1220 Brown;2.1 channel home theater system, includes 2 front speakers;Contoso, Ltd;Contoso;Econômico;101,46;199;288;Home Theater
Contoso Home Theater System 2.1 Channel M1230 Black;2.1 channel home theater system, includes 2 front speakers and 1 subwoofer;Contoso, Ltd;Contoso;Regular;183,54;360;252;Home Theater
Contoso Home Theater System 2.1 Channel M1230 Silver;2.1 channel home theater system, includes 2 front speakers and 1 subwoofer;Contoso, Ltd;Contoso;Regular;183,54;360;265;Home Theater
Contoso Home Theater System 2.1 Channel M1230 White;2.1 channel home theater system, includes 2 front speakers and 1 subwoofer;Contoso, Ltd;Contoso;Regular;183,54;360;278;Home Theater
Contoso Home Theater System 2.1 Channel M1210 Silver;2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Contoso, Ltd;Contoso;Regular;167,73;329;254;Home Theater
Contoso Home Theater System 2.1 Channel M1210 White;2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Contoso, Ltd;Contoso;Regular;167,73;329;267;Home Theater
Contoso Home Theater System 2.1 Channel M1210 Brown;2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Contoso, Ltd;Contoso;Regular;167,73;329;280;Home Theater
Litware Home Theater System 2.1 Channel E211 Silver;2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Litware, Inc.;Litware;Econômico;137,6;269,9;212;Home Theater
Litware Home Theater System 2.1 Channel E211 Brown;2.1 channel home theater system, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Litware, Inc.;Litware;Econômico;137,6;269,9;228;Home Theater
Contoso Home Theater System 2.1 Channel E1200 Silver;2.1 channel home theater system, total power: 400 watts;Contoso, Ltd;Contoso;Econômico;152,44;299;253;Home Theater
Contoso Home Theater System 2.1 Channel E1200 White;2.1 channel home theater system, total power: 400 watts;Contoso, Ltd;Contoso;Econômico;152,44;299;266;Home Theater
Litware Home Theater System 2.1 Channel E212 Black;2.1 channel home theater system, total power: 400 watts;Litware, Inc.;Litware;Econômico;152,9;299,9;197;Home Theater
Litware Home Theater System 2.1 Channel E212 Silver;2.1 channel home theater system, total power: 400 watts;Litware, Inc.;Litware;Econômico;152,9;299,9;213;Home Theater
Litware Home Theater System 2.1 Channel E212 Brown;2.1 channel home theater system, total power: 400 watts;Litware, Inc.;Litware;Econômico;152,9;299,9;229;Home Theater
Contoso Home Theater System 2.1 Channel E1200 Black;2.1 channel home theater system. Total power: 400 watts;Contoso, Ltd;Contoso;Econômico;152,44;299;240;Home Theater
Contoso Home Theater System 2.1 Channel E1200 Brown;2.1 channel home theater system. Total power: 400 watts;Contoso, Ltd;Contoso;Econômico;152,44;299;279;Home Theater
Contoso Home Theater System 2.1 Channel M1230 Brown;2.1 channel home theater systems, includes 2 front speakers and 1 subwoofer;Contoso, Ltd;Contoso;Regular;183,54;360;291;Home Theater
Contoso Home Theater System 2.1 Channel M1210 Black;2.1 channel home theater systems, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Contoso, Ltd;Contoso;Regular;167,73;329;241;Home Theater
Litware Home Theater System 2.1 Channel E211 Black;2.1 channel home theater systems, includes 2 front speakers, 1 subwoofer and 1 A/V receiver;Litware, Inc.;Litware;Econômico;137,6;269,9;196;Home Theater
Adventure Works Desktop PC2.33 XD233 Silver;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Adventure Works;Adventure Works;Luxo;321,05;969;416;Desktop
Adventure Works Desktop PC2.33 XD233 Black;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Adventure Works;Adventure Works;Luxo;321,05;969;422;Desktop
Adventure Works Desktop PC2.33 XD233 Brown;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Adventure Works;Adventure Works;Luxo;321,05;969;428;Desktop
Adventure Works Desktop PC2.33 XD233 White;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Adventure Works;Adventure Works;Luxo;321,05;969;433;Desktop
WWI Desktop PC2.33 X2330 Black;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Wide World Importers;Wide World Importers;Luxo;304,48;919;444;Desktop
WWI Desktop PC2.33 X2330 Brown;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Wide World Importers;Wide World Importers;Luxo;304,48;919;450;Desktop
WWI Desktop PC2.33 X2330 White;2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive;Wide World Importers;Wide World Importers;Luxo;304,48;919;455;Desktop
WWI Desktop PC2.33 X2330 Silver;2.33GHz dual processor, 750GB 7200RPM hard drive, 19 widescreen LCD monitors;Wide World Importers;Wide World Importers;Luxo;304,48;919;438;Desktop
Adventure Works Desktop PC2.30 MD230 Silver;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Adventure Works;Adventure Works;Regular;275,46;599;417;Desktop
Adventure Works Desktop PC2.30 MD230 Black;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Adventure Works;Adventure Works;Regular;275,46;599;423;Desktop
Adventure Works Desktop PC2.30 MD230 White;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Adventure Works;Adventure Works;Regular;275,46;599;434;Desktop
Adventure Works Desktop PC2.30 MD230 Brown;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Adventure Works;Adventure Works;Regular;275,87;599,9;429;Desktop
WWI Desktop PC2.30 M2300 Black;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Wide World Importers;Wide World Importers;Regular;257,06;559;445;Desktop
WWI Desktop PC2.30 M2300 Silver;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Wide World Importers;Wide World Importers;Regular;257,06;559;451;Desktop
WWI Desktop PC2.30 M2300 White;"2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 19"" widescreen LCD monitors";Wide World Importers;Wide World Importers;Regular;257,06;559;456;Desktop
WWI Desktop PC2.30 M2300 Brown;2.3GHz dual processor, 4 GB DDR2 SDRAM memories, 4MB L2 Cache;Wide World Importers;Wide World Importers;Regular;257,06;559;439;Desktop
Contoso 16GB New Generation MP5 Player M1650 Silver;2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF;Contoso, Ltd;Contoso;Regular;106,69;232;41;Aparelho de Som
Contoso 16GB New Generation MP5 Player M1650 White;2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF;Contoso, Ltd;Contoso;Regular;106,69;232;42;Aparelho de Som
Contoso 16GB New Generation MP5 Player M1650 Black;2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF;Contoso, Ltd;Contoso;Regular;106,69;232;43;Aparelho de Som
Contoso 16GB New Generation MP5 Player M1650 blue;2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF;Contoso, Ltd;Contoso;Regular;106,69;232;44;Aparelho de Som
Contoso 16GB New Generation MP5 Player M1650 Pink;2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF;Contoso, Ltd;Contoso;Regular;106,69;232;45;Aparelho de Som
Contoso 8GB Clock & Radio MP3 Player X850 Silver;2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB;Contoso, Ltd;Contoso;Luxo;99,14;299,23;37;Aparelho de Som
Contoso 8GB Clock & Radio MP3 Player X850 Black;2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB;Contoso, Ltd;Contoso;Luxo;99,14;299,23;38;Aparelho de Som
Contoso 8GB Clock & Radio MP3 Player X850 Green;2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB;Contoso, Ltd;Contoso;Luxo;99,14;299,23;39;Aparelho de Som
Contoso 8GB Clock & Radio MP3 Player X850 Blue;2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB;Contoso, Ltd;Contoso;Luxo;99,14;299,23;40;Aparelho de Som
"Adventure Works 20"" LCD HDTV M120 Silver";20'' 720p LCD HDTV, HDMI v 1.3 digital inputs;Adventure Works;Adventure Works;Regular;160,93;349,95;133;Televisão
"Adventure Works 20"" LCD HDTV M120 Black";20'' 720p LCD HDTV, HDMI v 1.3 digital inputs;Adventure Works;Adventure Works;Regular;160,93;349,95;134;Televisão
"Adventure Works 20"" LCD HDTV M120 White";20'' 720p LCD HDTV, HDMI v 1.3 digital inputs;Adventure Works;Adventure Works;Regular;160,93;349,95;135;Televisão
"Adventure Works 20"" LCD HDTV M120 Brown";20'' 720p LCD HDTV, HDMI v 1.3 digital inputs;Adventure Works;Adventure Works;Regular;160,93;349,95;136;Televisão
"Adventure Works 20"" CRT TV E15 Silver";20'' CRT Televisãoion, built-in ATSC/NTSC tuner, receive digital and analog channels;Adventure Works;Adventure Works;Econômico;86,67;169,99;116;Televisão
"Adventure Works 20"" CRT TV E15 Black";20'' CRT Televisãoion, built-in ATSC/NTSC tuner, receive digital and analog channels;Adventure Works;Adventure Works;Econômico;86,67;169,99;117;Televisão
"Adventure Works 20"" CRT TV E15 White";20'' CRT Televisãoion, built-in ATSC/NTSC tuner, receive digital and analog channels;Adventure Works;Adventure Works;Econômico;86,67;169,99;118;Televisão
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 White;20 x 11.9 x 15.8 inches, robust and affordable  scanner;Proseware, Inc.;Proseware;Regular;73,58;160;713;Impressora, Scanner & Fax
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Black;20 x 11.9 x 15.8 inches, robust and affordable scanner;Proseware, Inc.;Proseware;Regular;73,58;160;655;Impressora, Scanner & Fax
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Grey;20 x 11.9 x 15.8 inches, robust and affordable scanner;Proseware, Inc.;Proseware;Regular;73,58;160;684;Impressora, Scanner & Fax
Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Green;20 x 18 x 14.2 inches, Ink Jet Instant PDF Sheet-Fed Scanner;Proseware, Inc.;Proseware;Regular;73,58;160;732;Impressora, Scanner & Fax
"Adventure Works 20"" Analog CRT TV E45 Silver";"20"" Analog CRT TV, digital comb filter removes blurred edges between colors";Adventure Works;Adventure Works;Econômico;101,97;200;129;Televisão
"Adventure Works 20"" Analog CRT TV E45 Black";"20"" Analog CRT TV, digital comb filter removes blurred edges between colors";Adventure Works;Adventure Works;Econômico;101,97;200;130;Televisão
"Adventure Works 20"" Analog CRT TV E45 White";"20"" Analog CRT TV, digital comb filter removes blurred edges between colors";Adventure Works;Adventure Works;Econômico;101,97;200;131;Televisão
"Adventure Works 20"" Analog CRT TV E45 Brown";"20"" Analog CRT TV, digital comb filter removes blurred edges between colors";Adventure Works;Adventure Works;Econômico;101,97;200;132;Televisão
Adventure Works LCD20W M240 Black;"20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1";Adventure Works;Adventure Works;Regular;128,3;279;494;Monitor
Adventure Works LCD20W M240 White;"20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1";Adventure Works;Adventure Works;Regular;128,3;279;508;Monitor
Proseware LCD20W M230 Black;"20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1";Proseware, Inc.;Proseware;Regular;128,3;279;466;Monitor
Proseware LCD20W M230 White;"20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1";Proseware, Inc.;Proseware;Regular;128,3;279;480;Monitor
WWI LCD20W M250 Black;"20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1";Wide World Importers;Wide World Importers;Regular;128,3;279;522;Monitor
WWI LCD20W M250 White;"20"" widescreen 1600 x 900 VGA, brightness: 250cd/m2, contrast ratio: 10000:1";Wide World Importers;Wide World Importers;Regular;128,3;279;533;Monitor
Proseware Color Inkjet Fax with 5.8 GHz Cordless Handset X250 Black;21.5 x 21.2 x 12.5 inches, 29 pounds, Fax - Color Inkjet Fax with 5.8 GHz cordless handset;Proseware, Inc.;Proseware;Luxo;75,54;228;661;Impressora, Scanner & Fax
Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 Grey;21.5 x 21.2 x 12.5 inches, 29 pounds, Fax - Color Inkjet Fax with 5.8 GHz cordless handset;Proseware, Inc.;Proseware;Luxo;75,54;228;690;Impressora, Scanner & Fax
Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 White;21.5 x 21.2 x 12.5 inches, 29 pounds, Fax - Color Inkjet Fax with 5.8 GHz cordless handset;Proseware, Inc.;Proseware;Luxo;75,54;228;719;Impressora, Scanner & Fax
Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 Green;22 x 20.3 x 18.1 inches, Fax - Color Inkjet Fax with 5.8 GHz cordless handset;Proseware, Inc.;Proseware;Luxo;75,54;228;738;Impressora, Scanner & Fax
Adventure Works LCD22 M200 Black;"22"" Screen LCD, resolution - 1680 x 1050";Adventure Works;Adventure Works;Regular;205,09;619;491;Monitor
Adventure Works LCD22 M200 White;"22"" Screen LCD, resolution - 1680 x 1050";Adventure Works;Adventure Works;Regular;205,09;619;505;Monitor
Proseware LCD22 M2000 White;"22"" Screen LCD, resolution - 1680 x 1050";Proseware, Inc.;Proseware;Regular;205,09;619;477;Monitor
WWI LCD22 M2002 Black;"22"" Screen LCD, resolution - 1680 x 1050";Wide World Importers;Wide World Importers;Regular;205,09;619;519;Monitor
WWI LCD22 M2002 White;"22"" Screen LCD, resolution - 1680 x 1050";Wide World Importers;Wide World Importers;Regular;205,09;619;530;Monitor
Proseware LCD22 M2000 Black;"22"" screen LCD, Resolution -1680 x 1050";Proseware, Inc.;Proseware;Regular;205,09;619;463;Monitor
Adventure Works LCD22W M200 White;"22"" wide screen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness";Adventure Works;Adventure Works;Regular;224,97;679;506;Monitor
Proseware LCD22W M2001 Black;"22"" wide screen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness";Proseware, Inc.;Proseware;Regular;224,97;679;464;Monitor
Adventure Works LCD22W M200 Black;"22"" widescreen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness";Adventure Works;Adventure Works;Regular;224,97;679;492;Monitor
Proseware LCD22W M2001 White;"22"" widescreen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness";Proseware, Inc.;Proseware;Regular;224,97;679;478;Monitor
WWI LCD22W M2003 Black;"22"" widescreen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness";Wide World Importers;Wide World Importers;Regular;224,97;679;520;Monitor
WWI LCD22W M2003 White;"22"" widescreen LCD, 0.285mm x 0.285mm pixel pitch, 300cd/m2 (typical) brightness";Wide World Importers;Wide World Importers;Regular;224,97;679;531;Monitor
Proseware High Speed Laser M2000 Black;22.3 x 13.2 x 21 inches, 30 pounds, high Speed Laser Fax;Proseware, Inc.;Proseware;Regular;69,25;209;658;Impressora, Scanner & Fax
Proseware High Speed Laser Fax M2000 Grey;22.3 x 13.2 x 21 inches, 30 pounds, high Speed Laser Fax;Proseware, Inc.;Proseware;Regular;69,25;209;687;Impressora, Scanner & Fax
Proseware High Speed Laser M2000 White;22.3 x 13.2 x 21 inches, 30 pounds, high Speed Laser Fax;Proseware, Inc.;Proseware;Regular;69,25;209;716;Impressora, Scanner & Fax
Proseware Slim-Design Fax Machine with Answering System X180 Black;22.5 x 15.6 x 9.6 inches, 15 pounds, flatbed scanner;Proseware, Inc.;Proseware;Luxo;78,19;236;662;Impressora, Scanner & Fax
Proseware Slim-Design Fax Machine with Answering System X180 Grey;22.5 x 15.6 x 9.6 inches, 15 pounds, flatbed scanner;Proseware, Inc.;Proseware;Luxo;78,19;236;691;Impressora, Scanner & Fax
Proseware Slim-Design Fax Machine with Answering System X180 White;22.5 x 15.6 x 9.6 inches, 15 pounds, flatbed scanner;Proseware, Inc.;Proseware;Luxo;78,19;236;720;Impressora, Scanner & Fax
Adventure Works LCD24 X300 Black;24 Inch HD display, 160��������������������������� horizontal a;Adventure Works;Adventure Works;Luxo;271,35;819;489;Monitor
Proseware LCD24 X300 White;24 Inch HD display, 160��������������������������� horizontal a;Proseware, Inc.;Proseware;Luxo;271,35;819;475;Monitor
Adventure Works LCD24 X300 White;24 inches HD display, 160��������������������������� horizontal a;Adventure Works;Adventure Works;Luxo;271,35;819;503;Monitor
Proseware LCD24 X300 Black;24 inches HD display, 160��������������������������� horizontal a;Proseware, Inc.;Proseware;Luxo;271,35;819;461;Monitor
WWI LCD24 X300 Black;24 inches HD display, 160��������������������������� horizontal a;Wide World Importers;Wide World Importers;Luxo;271,35;819;517;Monitor
WWI LCD24 X300 White;24 inches HD display, 160��������������������������� horizontal a;Wide World Importers;Wide World Importers;Luxo;271,35;819;528;Monitor
Adventure Works LCD24W X300 White;24 inches widescreen HD display, 1920 x 1200 maximum resolutions;Adventure Works;Adventure Works;Luxo;287,92;869;504;Monitor
Proseware LCD24W X300 White;24 widescreen HD display, 1920 x 1200 maximum resolution;Proseware, Inc.;Proseware;Luxo;287,92;869;476;Monitor
WWI LCD24W X300 White;24 widescreen HD display, 1920 x 1200 maximum resolution;Wide World Importers;Wide World Importers;Luxo;287,92;869;529;Monitor
Adventure Works LCD24W X300 Black;24 widescreen HD display, 1920 x 1200 maximum resolutions;Adventure Works;Adventure Works;Luxo;287,92;869;490;Monitor
Proseware LCD24W X300 Black;24 widescreen HD display, 1920 x 1200 maximum resolutions;Proseware, Inc.;Proseware;Luxo;287,92;869;462;Monitor
WWI LCD24W X300 Black;24 widescreen HD display, 1920 x 1200 maximum resolutions;Wide World Importers;Wide World Importers;Luxo;287,92;869;518;Monitor
The Phone Company Finger Touch Screen Phones M30 Grey;240���������������������������;The Phone Company;The Phone Company;Econômico;91,51;199;1437;Smartphone
"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Black";240���������������������������;The Phone Company;The Phone Company;Luxo;175,27;529;1408;Smartphone
The Phone Company PDA Handheld 4.7 inch L650 Black;256 MB flash memory expands via two memory card slots;The Phone Company;The Phone Company;Luxo;128,88;389;1531;Tablet
The Phone Company PDA Handheld 4.7 inch L650 Silver;256 MB flash memory expands via two memory card slots;The Phone Company;The Phone Company;Luxo;128,88;389;1549;Tablet
The Phone Company PDA Handheld 4.7 inch L650 White;256 MB flash memory expands via two memory card slots;The Phone Company;The Phone Company;Luxo;128,88;389;1567;Tablet
"Adventure Works 26"" 720p LCD HDTV M140 Silver";26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes;Adventure Works;Adventure Works;Regular;216,12;469,97;153;Televisão
"Adventure Works 26"" 720p LCD HDTV M140 Black";26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes;Adventure Works;Adventure Works;Regular;216,12;469,97;154;Televisão
"Adventure Works 26"" 720p LCD HDTV M140 White";26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes;Adventure Works;Adventure Works;Regular;216,12;469,97;155;Televisão
"Adventure Works 26"" 720p LCD HDTV M140 Brown";26'' 720p LCD HDTV, 720p HD LCD Panel, Theater Wide Picture Modes;Adventure Works;Adventure Works;Regular;216,12;469,97;156;Televisão
Contoso 2G MP3 Player E200 Silver;2GB flash memory, LCD display, plays MP3 and WMA;Contoso, Ltd;Contoso;Econômico;11;21,57;4;Aparelho de Som
Contoso 2G MP3 Player E200 Red;2GB flash memory, LCD display, plays MP3 and WMA;Contoso, Ltd;Contoso;Econômico;11;21,57;5;Aparelho de Som
Contoso 2G MP3 Player E200 Black;2GB flash memory, LCD display, plays MP3 and WMA;Contoso, Ltd;Contoso;Econômico;11;21,57;6;Aparelho de Som
Contoso 2G MP3 Player E200 Blue;2GB flash memory, LCD display, plays MP3 and WMA;Contoso, Ltd;Contoso;Econômico;11;21,57;7;Aparelho de Som
WWI 2GB Spy Video Recorder Pen M300 Black;2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras;Wide World Importers;Wide World Importers;Regular;83,24;181;61;Caneta Gravadora
WWI 2GB Spy Video Recorder Pen M300 White;2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras;Wide World Importers;Wide World Importers;Regular;83,24;181;62;Caneta Gravadora
WWI 2GB Spy Video Recorder Pen M300 Blue;2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras;Wide World Importers;Wide World Importers;Regular;83,24;181;63;Caneta Gravadora
WWI 2GB Spy Video Recorder Pen M300 Silver;2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras;Wide World Importers;Wide World Importers;Regular;83,24;181;64;Caneta Gravadora
WWI 2GB Spy Video Recorder Pen M300 Purple;2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras;Wide World Importers;Wide World Importers;Regular;83,24;181;65;Caneta Gravadora
Contoso 2-Line Speakerphone M109 Black;2-Line speakerphone, conference call between an outside line and up to 2 handsets;Contoso, Ltd;Contoso;Regular;16,55;35,99;1339;Telefone para Casa & Escritório
Contoso Multi-line phones M30 Black;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;22,99;1319;Telefone para Casa & Escritório
Contoso Multi-line phones M30 White;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;22,99;1352;Telefone para Casa & Escritório
Contoso Multi-line phones M30 Grey;3 handsets, 1 base, and 2 chargers;Contoso, Ltd;Contoso;Regular;10,57;22,99;1385;Telefone para Casa & Escritório
Contoso 16GB Mp5 Player M1600 Blue;"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV";Contoso, Ltd;Contoso;Regular;91,93;199,9;24;Aparelho de Som
Contoso 16GB Mp5 Player M1600 Black;"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV";Contoso, Ltd;Contoso;Regular;91,93;199,9;25;Aparelho de Som
Contoso 16GB Mp5 Player M1600 Green;"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV";Contoso, Ltd;Contoso;Regular;91,93;199,9;26;Aparelho de Som
Contoso 16GB Mp5 Player M1600 White;"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV";Contoso, Ltd;Contoso;Regular;91,93;199,9;27;Aparelho de Som
Contoso 16GB Mp5 Player M1600 Red;"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV";Contoso, Ltd;Contoso;Regular;91,93;199,9;28;Aparelho de Som
WWI Desktop PC3.0 M0300 Silver;3.0GHz processor, 4 GB DDR2 SDRAM memories, 500GB 7200RPM hard drive, 19 inch LCD flat monitors;Wide World Importers;Wide World Importers;Regular;160,49;349;443;Desktop
Adventure Works Desktop PC3.0 MS300 Black;3.0GHz processor, 4 GB DDR2 SDRAM memories, 500GB 7200RPM hard drive, 19 inches LCD flat monitors;Adventure Works;Adventure Works;Regular;215,68;469;427;Desktop
WWI Desktop PC3.0 M0300 Black;3.0GHz processor, 4 GB DDR2 SDRAM memories, 500GB 7200RPM hard drive, 19 inches LCD flat monitors;Wide World Importers;Wide World Importers;Regular;160,49;349;449;Desktop
Adventure Works Desktop PC3.0 MS300 Silver;3.0GHz processor, 4GB DDR2 SDRAM memory, 500GB 7200RPM hard drive, 19 inch LCD flat monitors;Adventure Works;Adventure Works;Regular;215,68;469;421;Desktop
Contoso Home Theater System 5.1 Channel M1510 Black;300 watts of home theater surround sound designed for use with 5.1-channel DVD players, computer systems, and more;Contoso, Ltd;Contoso;Regular;224,87;489;245;Home Theater
Contoso Home Theater System 5.1 Channel M1510 Silver;300 watts of home theater surround sound designed for use with 5.1-channel DVD players, computer systems, and more;Contoso, Ltd;Contoso;Regular;224,87;489;258;Home Theater
Contoso Home Theater System 5.1 Channel M1510 White;300 watts of home theater surround sound designed for use with 5.1-channel DVD players, computer systems, and more;Contoso, Ltd;Contoso;Regular;224,87;489;271;Home Theater
Contoso Home Theater System 5.1 Channel M1510 Brown;300 watts of home theater surround sound designed for use with 5.1-channel DVD players, computer systems, and more;Contoso, Ltd;Contoso;Regular;224,87;489;284;Home Theater
"Adventure Works 32"" LCD HDTV M130 Silver";32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning;Adventure Works;Adventure Works;Regular;229,93;499,99;137;Televisão
"Adventure Works 32"" LCD HDTV M130 Black";32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning;Adventure Works;Adventure Works;Regular;229,93;499,99;138;Televisão
"Adventure Works 32"" LCD HDTV M130 White";32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning;Adventure Works;Adventure Works;Regular;229,93;499,99;139;Televisão
"Adventure Works 32"" LCD HDTV M130 Brown";32'' 720p LCD HDTV, Back-Light Control, Built-In ATSC/NTSC/QAM Digital Tuning;Adventure Works;Adventure Works;Regular;229,93;499,99;140;Televisão
Fabrikam Laptop16W M6080 Black;320 GB hard drive, 2 GB RAM 16-inches widescreen LCD;Fabrikam, Inc.;Fabrikam;Regular;444,69;967;341;Laptop
Fabrikam Laptop17 M7000 Black;320 GB hard drive, 2 GB RAM 17-inches screens LCD;Fabrikam, Inc.;Fabrikam;Regular;376,63;819;340;Laptop
Fabrikam Laptop17W M7080 Black;320 GB hard drive, 4 GB RAM 17-inches widescreen LCD with perfect 16:9 aspect ratio;Fabrikam, Inc.;Fabrikam;Regular;404,63;879,9;339;Laptop
Adventure Works Laptop19 X1900 Black;320 GB hard drive, 4 GB RAM 19-inches LCD;Adventure Works;Adventure Works;Luxo;430,38;1299;362;Laptop
Proseware Laptop19 X910 Black;320 GB hard drive, 4 GB RAM 19-inches LCD;Proseware, Inc.;Proseware;Luxo;430,38;1299;404;Laptop
Fabrikam Laptop19 M9000 Black;320 GB hard drive, 4 GB RAM 19-inches screen LCD;Fabrikam, Inc.;Fabrikam;Regular;364,12;1099;343;Laptop
